# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -4.276312029E-05 4.098938662E-04
 1.009999990E+00 -3.876104165E-05 3.994891886E-04
 1.009999990E+00 -3.479186489E-05 3.891707165E-04
 1.009999990E+00 -3.085220305E-05 3.789295733E-04
 1.009999990E+00 -2.693869828E-05 3.687576973E-04
 1.009999990E+00 -2.304802729E-05 3.586469684E-04
 1.009999990E+00 -1.917689042E-05 3.485888592E-04
 1.009999990E+00 -1.532200804E-05 3.385762393E-04
 1.009999990E+00 -1.148011779E-05 3.286019200E-04
 1.009999990E+00 -7.647975508E-06 3.186558897E-04
 1.009999990E+00 -3.822345661E-06 3.046130296E-04
 1.009999990E+00 0.000000000E+00 2.988363267E-04
 1.009999990E+00 3.822347935E-06 2.930510964E-04
 1.009999990E+00 7.647980055E-06 2.790132421E-04
 1.009999990E+00 1.148012416E-05 2.690986148E-04
 1.009999990E+00 1.532201532E-05 2.591669618E-04
 1.009999990E+00 1.917690133E-05 2.492110361E-04
 1.009999990E+00 2.304804002E-05 2.392226015E-04
 1.009999990E+00 2.693871284E-05 2.291936107E-04
 1.009999990E+00 3.085221761E-05 2.191167150E-04
 1.009999990E+00 3.479188308E-05 2.089841437E-04
 1.009999990E+00 3.876106348E-05 1.987882133E-04
 1.009999990E+00 4.276314212E-05 1.885209931E-04
 1.009999990E+00 4.680154962E-05 1.781747269E-04
 1.009999990E+00 5.087974569E-05 1.677414257E-04
 1.009999990E+00 5.500124098E-05 1.572133770E-04
 1.009999990E+00 5.916958980E-05 1.465829118E-04
 1.009999990E+00 6.338840467E-05 1.358418231E-04
 1.009999990E+00 6.766134902E-05 1.249821653E-04
 1.009999990E+00 7.199214451E-05 1.139960004E-04
 1.009999990E+00 7.638458919E-05 1.028754123E-04
 1.009999990E+00 8.084253204E-05 9.161213529E-05
 1.009999990E+00 8.536990208E-05 8.019805682E-05
 1.009999990E+00 8.997071563E-05 6.862529699E-05
 1.009999990E+00 9.464906179E-05 5.688551391E-05
 1.009999990E+00 9.940911696E-05 4.497017653E-05
 1.009999990E+00 1.042551376E-04 3.287159780E-05
 1.009999990E+00 1.091915037E-04 2.058171776E-05
 1.009999990E+00 1.142226683E-04 8.091478776E-06
 1.009999990E+00 1.193532007E-04 -4.607270967E-06
 1.009999990E+00 1.245877793E-04 -1.752241951E-05
 1.009999990E+00 1.299312280E-04 -3.066238787E-05
 1.009999990E+00 1.353884290E-04 -4.403521234E-05
 1.009999990E+00 1.409644319E-04 -5.764907110E-05
 1.009999990E+00 1.466644462E-04 -7.151319005E-05
 1.009999990E+00 1.524937543E-04 -8.563443407E-05
 1.009999990E+00 1.584578567E-04 -1.000216434E-04
 1.009999990E+00 1.645623270E-04 -1.146830546E-04
 1.009999990E+00 1.708129566E-04 -1.296269620E-04
 1.009999990E+00 1.772156829E-04 -1.448597031E-04
 1.009999990E+00 1.837766031E-04 -1.603899582E-04
 1.009999990E+00 1.905020035E-04 -1.762240136E-04
 1.009999990E+00 1.973983599E-04 -1.923703676E-04
 1.009999990E+00 2.044723224E-04 -2.088375331E-04
 1.009999990E+00 2.117307595E-04 -2.256299922E-04
 1.009999990E+00 2.191807289E-04 -2.427551226E-04
 1.009999990E+00 2.268295357E-04 -2.602196182E-04
 1.009999990E+00 2.346846741E-04 -2.780285431E-04
 1.009999990E+00 2.427538711E-04 -2.961891005E-04
 1.009999990E+00 2.510451304E-04 -3.147055977E-04
 1.009999990E+00 2.595667029E-04 -3.335818765E-04
 1.009999990E+00 2.683270432E-04 -3.528221278E-04
 1.009999990E+00 2.773349406E-04 -3.724315611E-04
 1.009999990E+00 2.865994466E-04 -3.924124176E-04
 1.009999990E+00 2.961298742E-04 -4.127682478E-04
 1.009999990E+00 3.059358860E-04 -4.334994883E-04
 1.009999990E+00 3.160274064E-04 -4.546057899E-04
 1.009999990E+00 3.264147381E-04 -4.760877055E-04
 1.009999990E+00 3.371084458E-04 -4.979458754E-04
 1.009999990E+00 3.481195308E-04 -5.201800959E-04
 1.009999990E+00 3.594593145E-04 -5.427853903E-04
 1.009999990E+00 3.711394675E-04 -5.657563452E-04
 1.009999990E+00 3.831720969E-04 -5.890909233E-04
 1.009999990E+00 3.955696302E-04 -6.127814995E-04
 1.009999990E+00 4.083450476E-04 -6.368190516E-04
 1.009999990E+00 4.215116205E-04 -6.611997960E-04
 1.009999990E+00 4.350831150E-04 -6.859094137E-04
 1.009999990E+00 4.490738502E-04 -7.109394646E-04
 1.009999990E+00 4.634984653E-04 -7.362751639E-04
 1.009999990E+00 4.783722106E-04 -7.619002718E-04
 1.009999990E+00 4.937108024E-04 -7.878006436E-04
 1.009999990E+00 5.095305387E-04 -8.139594574E-04
 1.009999990E+00 5.258481833E-04 -8.403552347E-04
 1.009999990E+00 5.426811404E-04 -8.669673698E-04
 1.009999990E+00 5.600473960E-04 -8.937739185E-04
 1.009999990E+00 5.779655767E-04 -9.207476978E-04
 1.009999990E+00 5.964548327E-04 -9.478637367E-04
 1.009999990E+00 6.155350711E-04 -9.750950849E-04
 1.009999990E+00 6.352268392E-04 -1.002410776E-03
 1.009999990E+00 6.555513828E-04 -1.029778738E-03
 1.009999990E+00 6.765308208E-04 -1.057165093E-03
 1.009999990E+00 6.981877377E-04 -1.084537013E-03
 1.009999990E+00 7.205457659E-04 -1.111855148E-03
