# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 3.876106348E-05 1.992589096E-04
 1.009999990E+00 4.276314212E-05 1.890034036E-04
 1.009999990E+00 4.680154962E-05 1.786689099E-04
 1.009999990E+00 5.087974569E-05 1.682474540E-04
 1.009999990E+00 5.500124098E-05 1.577313233E-04
 1.009999990E+00 5.916958980E-05 1.471128344E-04
 1.009999990E+00 6.338840467E-05 1.363838237E-04
 1.009999990E+00 6.766134902E-05 1.255363313E-04
 1.009999990E+00 7.199214451E-05 1.145624556E-04
 1.009999990E+00 7.638458919E-05 1.034542511E-04
 1.009999990E+00 8.084253204E-05 9.220348147E-05
 1.009999990E+00 8.536990208E-05 8.080203406E-05
 1.009999990E+00 8.997071563E-05 6.924203626E-05
 1.009999990E+00 9.464906179E-05 5.751515710E-05
 1.009999990E+00 9.940911696E-05 4.561286551E-05
 1.009999990E+00 1.042551376E-04 3.352748172E-05
 1.009999990E+00 1.091915037E-04 2.125095671E-05
 1.009999990E+00 1.142226683E-04 8.774235539E-06
 1.009999990E+00 1.193532007E-04 -3.910826308E-06
 1.009999990E+00 1.245877793E-04 -1.681211143E-05
 1.009999990E+00 1.299312280E-04 -2.993803537E-05
 1.009999990E+00 1.353884290E-04 -4.329663352E-05
 1.009999990E+00 1.409644319E-04 -5.689607133E-05
 1.009999990E+00 1.466644462E-04 -7.074557652E-05
 1.009999990E+00 1.524937543E-04 -8.485199942E-05
 1.009999990E+00 1.584578567E-04 -9.922419122E-05
 1.009999990E+00 1.645623270E-04 -1.138703810E-04
 1.009999990E+00 1.708129566E-04 -1.287988416E-04
 1.009999990E+00 1.772156829E-04 -1.440159394E-04
 1.009999990E+00 1.837766031E-04 -1.595303329E-04
 1.009999990E+00 1.905020035E-04 -1.753483230E-04
 1.009999990E+00 1.973983599E-04 -1.914783788E-04
 1.009999990E+00 2.044723224E-04 -2.079290280E-04
 1.009999990E+00 2.117307595E-04 -2.247047523E-04
 1.009999990E+00 2.191807289E-04 -2.418129297E-04
 1.009999990E+00 2.268295357E-04 -2.592602395E-04
 1.009999990E+00 2.346846741E-04 -2.770518186E-04
 1.009999990E+00 2.427538711E-04 -2.951947972E-04
 1.009999990E+00 2.510451304E-04 -3.136935120E-04
 1.009999990E+00 2.595667029E-04 -3.325517755E-04
 1.009999990E+00 2.683270432E-04 -3.517738660E-04
 1.009999990E+00 2.773349406E-04 -3.713649639E-04
 1.009999990E+00 2.865994466E-04 -3.913272812E-04
 1.009999990E+00 2.961298742E-04 -4.116643977E-04
 1.009999990E+00 3.059358860E-04 -4.323767789E-04
 1.009999990E+00 3.160274064E-04 -4.534641048E-04
 1.009999990E+00 3.264147381E-04 -4.749268992E-04
 1.009999990E+00 3.371084458E-04 -4.967657733E-04
 1.009999990E+00 3.481195308E-04 -5.189807271E-04
 1.009999990E+00 3.594593145E-04 -5.415665219E-04
 1.009999990E+00 3.711394675E-04 -5.645180354E-04
 1.009999990E+00 3.831720969E-04 -5.878331140E-04
 1.009999990E+00 3.955696302E-04 -6.115041906E-04
 1.009999990E+00 4.083450476E-04 -6.355222431E-04
 1.009999990E+00 4.215116205E-04 -6.598835462E-04
 1.009999990E+00 4.350831150E-04 -6.845737225E-04
 1.009999990E+00 4.490738502E-04 -7.095844485E-04
 1.009999990E+00 4.634984653E-04 -7.349009393E-04
 1.009999990E+00 4.783722106E-04 -7.605071296E-04
 1.009999990E+00 4.937108024E-04 -7.863886422E-04
 1.009999990E+00 5.095305387E-04 -8.125289460E-04
 1.009999990E+00 5.258481833E-04 -8.389064460E-04
 1.009999990E+00 5.426811404E-04 -8.655006532E-04
 1.009999990E+00 5.600473960E-04 -8.922896232E-04
 1.009999990E+00 5.779655767E-04 -9.192462312E-04
 1.009999990E+00 5.964548327E-04 -9.463456227E-04
 1.009999990E+00 6.155350711E-04 -9.735607891E-04
 1.009999990E+00 6.352268392E-04 -1.000860822E-03
 1.009999990E+00 6.555513828E-04 -1.028213883E-03
 1.009999990E+00 6.765308208E-04 -1.055585803E-03
 1.009999990E+00 6.981877377E-04 -1.082944218E-03
 1.009999990E+00 7.205457659E-04 -1.110249548E-03
