#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 1.009212971E+00 1.269267057E-03 3.524420663E-06
 2.924682617E+01 1.010126352E+00 1.267445274E-03 3.523701480E-06
 2.924682617E+01 1.011065245E+00 1.265564468E-03 3.522960469E-06
 2.924682617E+01 1.012030721E+00 1.263630227E-03 3.522197403E-06
 2.924682617E+01 1.013023734E+00 1.261643483E-03 3.521414101E-06
 2.924682617E+01 1.014045238E+00 1.259593293E-03 3.520607152E-06
 2.924682617E+01 1.015096068E+00 1.257483498E-03 3.519776101E-06
 2.924682617E+01 1.016177177E+00 1.255307230E-03 3.518916628E-06
 2.924682617E+01 1.017289758E+00 1.253056456E-03 3.518029871E-06
 2.924682617E+01 1.018434882E+00 1.250738977E-03 3.517116966E-06
 2.924682617E+01 1.019613743E+00 1.248356188E-03 3.516180186E-06
 2.924682617E+01 1.020827293E+00 1.245890628E-03 3.515211120E-06
 2.924682617E+01 1.022076726E+00 1.243352192E-03 3.514214768E-06
 2.924682617E+01 1.023363590E+00 1.240735175E-03 3.513186584E-06
 2.924682617E+01 1.024688840E+00 1.238027471E-03 3.512124067E-06
 2.924682617E+01 1.026053905E+00 1.235232456E-03 3.511028581E-06
 2.924682617E+01 1.027459979E+00 1.232346520E-03 3.509897851E-06
 2.924682617E+01 1.028908730E+00 1.229371759E-03 3.508731197E-06
 2.924682617E+01 1.030401587E+00 1.226299559E-03 3.507525207E-06
 2.924682617E+01 1.031939864E+00 1.223127358E-03 3.506281473E-06
 2.924682617E+01 1.033525229E+00 1.219844329E-03 3.504998631E-06
 2.924682617E+01 1.035159469E+00 1.216454781E-03 3.503674179E-06
 2.924682617E+01 1.036844015E+00 1.212956966E-03 3.502306527E-06
 2.924682617E+01 1.038580537E+00 1.209337614E-03 3.500892035E-06
 2.924682617E+01 1.040371060E+00 1.205592649E-03 3.499428885E-06
 2.924682617E+01 1.042217255E+00 1.201720210E-03 3.497915259E-06
 2.924682617E+01 1.044121146E+00 1.197720761E-03 3.496353656E-06
 2.924682617E+01 1.046084523E+00 1.193585689E-03 3.494739758E-06
 2.924682617E+01 1.048109651E+00 1.189309754E-03 3.493069244E-06
 2.924682617E+01 1.050198555E+00 1.184888533E-03 3.491344387E-06
 2.924682617E+01 1.052353382E+00 1.180306775E-03 3.489559504E-06
 2.924682617E+01 1.054576278E+00 1.175564830E-03 3.487714139E-06
 2.924682617E+01 1.056869864E+00 1.170664560E-03 3.485807156E-06
 2.924682617E+01 1.059236288E+00 1.165587804E-03 3.483832870E-06
 2.924682617E+01 1.061678171E+00 1.160330372E-03 3.481788099E-06
 2.924682617E+01 1.064198136E+00 1.154888654E-03 3.479670113E-06
 2.924682617E+01 1.066798687E+00 1.149254618E-03 3.477479140E-06
 2.924682617E+01 1.069482565E+00 1.143423025E-03 3.475211997E-06
 2.924682617E+01 1.072252870E+00 1.137371291E-03 3.472861636E-06
 2.924682617E+01 1.075112343E+00 1.131098485E-03 3.470427373E-06
 2.924682617E+01 1.078064203E+00 1.124606002E-03 3.467905117E-06
 2.924682617E+01 1.081111312E+00 1.117882552E-03 3.465292593E-06
 2.924682617E+01 1.084257126E+00 1.110916608E-03 3.462585937E-06
 2.924682617E+01 1.087505102E+00 1.103690825E-03 3.459777417E-06
 2.924682617E+01 1.090858459E+00 1.096198335E-03 3.456866352E-06
 2.924682617E+01 1.094321012E+00 1.088430523E-03 3.453848194E-06
 2.924682617E+01 1.097896338E+00 1.080375980E-03 3.450714985E-06
 2.924682617E+01 1.101588488E+00 1.072019804E-03 3.447462632E-06
 2.924682617E+01 1.105401278E+00 1.063355710E-03 3.444092044E-06
 2.924682617E+01 1.109338760E+00 1.054373337E-03 3.440593673E-06
 2.924682617E+01 1.113405347E+00 1.045043464E-03 3.436956831E-06
 2.924682617E+01 1.117605448E+00 1.035360503E-03 3.433179245E-06
 2.924682617E+01 1.121943355E+00 1.025317702E-03 3.429255912E-06
 2.924682617E+01 1.126424074E+00 1.014898298E-03 3.425182285E-06
 2.924682617E+01 1.131052375E+00 1.004084479E-03 3.420945859E-06
