VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA-QCR2000"
 3.235205114E-01 1.469729338E-10 2.755483341E-10 3.989888697E-10
 3.335398436E-01 1.467972549E-10 2.752631179E-10 3.985983488E-10
 3.438694775E-01 1.466070459E-10 2.749497019E-10 3.981664998E-10
 3.545189798E-01 1.464017796E-10 2.746068928E-10 3.976915186E-10
 3.654983342E-01 1.461809562E-10 2.742335525E-10 3.971716289E-10
 3.768177032E-01 1.459441179E-10 2.738286264E-10 3.966051376E-10
 3.884876370E-01 1.456908622E-10 2.733910598E-10 3.959904904E-10
 4.005189836E-01 1.454208004E-10 2.729199089E-10 3.953261885E-10
 4.129229188E-01 1.451336690E-10 2.724143966E-10 3.946109273E-10
 4.257110059E-01 1.448292458E-10 2.718738290E-10 3.938435411E-10
 4.388951659E-01 1.445074338E-10 2.712976788E-10 3.930231141E-10
 4.524875879E-01 1.441682329E-10 2.706856128E-10 3.921490077E-10
 4.665009975E-01 1.438117542E-10 2.700374924E-10 3.912208890E-10
 4.809483886E-01 1.434382890E-10 2.693534840E-10 3.902386747E-10
 4.958432019E-01 1.430482538E-10 2.686339762E-10 3.892028366E-10
 5.111992955E-01 1.426423007E-10 2.678797184E-10 3.881142074E-10
 5.270310044E-01 1.422212764E-10 2.670918209E-10 3.869741194E-10
 5.433530211E-01 1.417862633E-10 2.662717824E-10 3.857845432E-10
 5.601804852E-01 1.413386075E-10 2.654216014E-10 3.845480323E-10
 5.775290728E-01 1.408799882E-10 2.645437758E-10 3.832678896E-10
 5.954149961E-01 1.404123762E-10 2.636413310E-10 3.819481675E-10
 6.138547659E-01 1.399381583E-10 2.627179585E-10 3.805938342E-10
 6.328656673E-01 1.394600685E-10 2.617779604E-10 3.792106629E-10
 6.524653435E-01 1.389813542E-10 2.608264438E-10 3.778055924E-10
