VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 1.985946149E-01 1.468207361E-10 2.745709493E-10 3.972208118E-10
 2.047450244E-01 1.468044436E-10 2.745854655E-10 3.972648321E-10
 2.110859156E-01 1.467823640E-10 2.745897398E-10 3.972943363E-10
 2.176231891E-01 1.467541227E-10 2.745829952E-10 3.973081308E-10
 2.243629098E-01 1.467192479E-10 2.745643435E-10 3.973049389E-10
 2.313113511E-01 1.466773369E-10 2.745328964E-10 3.972834561E-10
 2.384749949E-01 1.466278904E-10 2.744877103E-10 3.972423224E-10
 2.458604872E-01 1.465704363E-10 2.744278416E-10 3.971800389E-10
 2.534747124E-01 1.465044752E-10 2.743522909E-10 3.970951623E-10
 2.613247335E-01 1.464295074E-10 2.742599758E-10 3.969860829E-10
 2.694178820E-01 1.463449639E-10 2.741498140E-10 3.968511908E-10
 2.777616680E-01 1.462503313E-10 2.740206673E-10 3.966888207E-10
 2.863638699E-01 1.461450405E-10 2.738713978E-10 3.964972239E-10
 2.952324748E-01 1.460285504E-10 2.737008675E-10 3.962746520E-10
 3.043757379E-01 1.459002918E-10 2.735078275E-10 3.960193562E-10
 3.138021529E-01 1.457596960E-10 2.732911675E-10 3.957295047E-10
 3.235205114E-01 1.456062076E-10 2.730496107E-10 3.954032379E-10
 3.335398436E-01 1.454392856E-10 2.727819637E-10 3.950387795E-10
 3.438694775E-01 1.452583887E-10 2.724870329E-10 3.946342697E-10
 3.545189798E-01 1.450629894E-10 2.721636805E-10 3.941879601E-10
 3.654983342E-01 1.448526021E-10 2.718107406E-10 3.936980464E-10
 3.768177032E-01 1.446267689E-10 2.714271585E-10 3.931628911E-10
 3.884876370E-01 1.443850872E-10 2.710119074E-10 3.925808845E-10
 4.005189836E-01 1.441271824E-10 2.705640711E-10 3.919505553E-10
 4.129229188E-01 1.438527769E-10 2.700827895E-10 3.912705715E-10
 4.257110059E-01 1.435616348E-10 2.695673684E-10 3.905397672E-10
 4.388951659E-01 1.432536173E-10 2.690172807E-10 3.897571987E-10
 4.524875879E-01 1.429287383E-10 2.684321654E-10 3.889221722E-10
 4.665009975E-01 1.425870810E-10 2.678118283E-10 3.880342436E-10
