#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2
     0.6526273     0.1558275     1.1474517    -0.1040852     0.0016713     0.0028847     0.0020872     0.0021379    -0.0009495     0.0000179     0.0000098
     0.6552779     0.1609380     1.1559015    -0.1004294     0.0010307     0.0027016     0.0018830     0.0018724    -0.0009205     0.0000055     0.0000089
     0.6579568     0.1665261     1.1657135    -0.0967416     0.0004560     0.0024539     0.0016482     0.0015730    -0.0008536     0.0000067     0.0000090
     0.6606038     0.1726269     1.1767897    -0.0930794     0.0002026     0.0021163     0.0013675     0.0012431    -0.0007484     0.0000032     0.0000033
     0.6631544     0.1792664     1.1888731    -0.0895636     0.0000933     0.0017035     0.0010522     0.0009180    -0.0006190    -0.0000182     0.0000069
     0.6655484     0.1864585     1.2005756    -0.0860114     0.0000744     0.0012488     0.0007387     0.0005827    -0.0004632    -0.0000151     0.0000041
     0.6677384     0.1942057     1.2110630    -0.0824944    -0.0000490     0.0007875     0.0004627     0.0003331    -0.0003043    -0.0000043    -0.0000018
     0.6696958     0.2025008     1.2179846    -0.0788200    -0.0000634     0.0004121     0.0002575     0.0001601    -0.0001638    -0.0000011    -0.0000010
     0.6714116     0.2113322     1.2204847    -0.0749757     0.0000483     0.0001859     0.0001340     0.0000673    -0.0000701     0.0000003    -0.0000009
     0.6728929     0.2206879     1.2196774    -0.0710590    -0.0000203     0.0000764     0.0000704     0.0000300    -0.0000233     0.0000015    -0.0000014
     0.6741557     0.2305601     1.2174607    -0.0671815     0.0000179     0.0000371     0.0000425     0.0000142    -0.0000070    -0.0000003     0.0000003
     0.6752180     0.2409473     1.2145536    -0.0633744    -0.0000095     0.0000229     0.0000305     0.0000081    -0.0000037    -0.0000000    -0.0000001
     0.6760945     0.2518553     1.2115750    -0.0596633     0.0000005     0.0000184     0.0000245     0.0000051    -0.0000021     0.0000000    -0.0000000

     0.6353360     0.1201749     0.4325726    -0.0650791     0.0001522     0.0357559     0.0119638     0.0186049    -0.0060267     0.0001063    -0.0000079
     0.6364205     0.1236993     0.9228216    -0.1199164     0.0001934     0.0171574     0.0050889     0.0069427    -0.0041790    -0.0000367     0.0000079
     0.6378149     0.1267110     1.0340646    -0.1263409     0.0000055     0.0094334     0.0033372     0.0047410    -0.0022573    -0.0000366    -0.0000038
     0.6393887     0.1295879     1.0820812    -0.1268683     0.0004036     0.0058487     0.0025657     0.0037684    -0.0014136    -0.0000282    -0.0000054
     0.6411107     0.1325314     1.1043660    -0.1251074     0.0008187     0.0042980     0.0022747     0.0032987    -0.0010459    -0.0000305    -0.0000023
     0.6429858     0.1356417     1.1153370    -0.1224503     0.0009690     0.0036592     0.0022379     0.0029901    -0.0009117    -0.0000213     0.0000026
     0.6450292     0.1389791     1.1213104    -0.1191337     0.0009796     0.0033734     0.0023020     0.0027760    -0.0008829    -0.0000237     0.0000025
     0.6472189     0.1425950     1.1261966    -0.1155866     0.0011240     0.0032331     0.0023400     0.0026359    -0.0008952    -0.0000170     0.0000054
     0.6495501     0.1465288     1.1316708    -0.1119686     0.0014558     0.0031344     0.0023267     0.0024990    -0.0009296    -0.0000046     0.0000082
     0.6520179     0.1508196     1.1378358    -0.1082714     0.0017847     0.0030355     0.0022447     0.0023259    -0.0009482     0.0000047     0.0000128
     0.6545999     0.1555096     1.1452245    -0.1045443     0.0016757     0.0028906     0.0020972     0.0021458    -0.0009509     0.0000198     0.0000088
     0.6572594     0.1606416     1.1538421    -0.1008207     0.0010782     0.0027126     0.0018925     0.0018811    -0.0009213     0.0000076     0.0000078
     0.6599461     0.1662558     1.1638185    -0.0971024     0.0004601     0.0024597     0.0016573     0.0015833    -0.0008550     0.0000071     0.0000093
     0.6625996     0.1723865     1.1750819    -0.0934707     0.0002147     0.0021205     0.0013736     0.0012483    -0.0007524     0.0000025     0.0000033
     0.6651548     0.1790581     1.1873517    -0.0899478     0.0000968     0.0017086     0.0010585     0.0009221    -0.0006222    -0.0000167     0.0000062
     0.6675521     0.1862833     1.1992619    -0.0863930     0.0000805     0.0012520     0.0007431     0.0005854    -0.0004651    -0.0000153     0.0000039
     0.6697446     0.1940630     1.2099132    -0.0828712    -0.0000484     0.0007885     0.0004655     0.0003349    -0.0003053    -0.0000042    -0.0000022
     0.6717048     0.2023893     1.2169661    -0.0792143    -0.0000646     0.0004123     0.0002591     0.0001608    -0.0001643    -0.0000011    -0.0000009
     0.6734246     0.2112498     1.2195560    -0.0753835     0.0000494     0.0001857     0.0001350     0.0000678    -0.0000702     0.0000003    -0.0000008
     0.6749117     0.2206326     1.2188179    -0.0714787    -0.0000203     0.0000763     0.0000711     0.0000302    -0.0000232     0.0000015    -0.0000014
