TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.631497824E+00    0.925258016E-01
    0.633420597E+00    0.935421496E-01
    0.635068843E+00    0.944131200E-01
    0.636715843E+00    0.953201997E-01
    0.636716310E+00    0.953204114E-01
    0.638637733E+00    0.963787900E-01
    0.640565961E+00    0.974373803E-01
    0.640566236E+00    0.974374710E-01
    0.642219250E+00    0.983444600E-01
    0.643870811E+00    0.992891488E-01
    0.645797509E+00    0.100391630E+00
    0.647730999E+00    0.101494111E+00
    0.647731275E+00    0.101494206E+00
    0.649388739E+00    0.102438800E+00
    0.651044253E+00    0.103422653E+00
    0.652975489E+00    0.104570840E+00
    0.654913591E+00    0.105719027E+00
    0.654913868E+00    0.105719125E+00
    0.656575349E+00    0.106702880E+00
    0.658234502E+00    0.107727526E+00
    0.660170026E+00    0.108923320E+00
    0.662112610E+00    0.110119114E+00
    0.663777891E+00    0.111143760E+00
    0.665440192E+00    0.112210884E+00
    0.667379422E+00    0.113456250E+00
    0.669326000E+00    0.114701616E+00
    0.670994585E+00    0.115768740E+00
    0.672659681E+00    0.116880108E+00
    0.674602137E+00    0.118177110E+00
    0.676551952E+00    0.119474112E+00
    0.678223418E+00    0.120585480E+00
    0.679890803E+00    0.121742925E+00
    0.681836022E+00    0.123093700E+00
    0.683788749E+00    0.124444475E+00
    0.685462659E+00    0.125601920E+00
    0.687131959E+00    0.126807353E+00
    0.689079310E+00    0.128214130E+00
    0.691034426E+00    0.129620907E+00
    0.692710352E+00    0.130826340E+00
    0.694380940E+00    0.132081749E+00
    0.696329795E+00    0.133546850E+00
    0.698286607E+00    0.135011951E+00
    0.699963986E+00    0.136267360E+00
    0.701635507E+00    0.137574817E+00
    0.703585482E+00    0.139100660E+00
    0.705543520E+00    0.140626503E+00
    0.707221977E+00    0.141933960E+00
    0.708893740E+00    0.143295625E+00
    0.710844014E+00    0.144884730E+00
    0.712802607E+00    0.146473835E+00
    0.714481498E+00    0.147835500E+00
    0.716152991E+00    0.149253620E+00
    0.718102924E+00    0.150908610E+00
    0.720061346E+00    0.152563600E+00
    0.721740123E+00    0.153981720E+00
    0.723410794E+00    0.155458635E+00
    0.725359788E+00    0.157182240E+00
    0.727317357E+00    0.158905845E+00
    0.728995421E+00    0.160382760E+00
    0.730664565E+00    0.161920910E+00
    0.732611821E+00    0.163715980E+00
    0.734567929E+00    0.165511050E+00
    0.736244704E+00    0.167049200E+00
    0.737911669E+00    0.168651115E+00
    0.739856354E+00    0.170520600E+00
    0.741810169E+00    0.172390085E+00
    0.743484957E+00    0.173992000E+00
    0.745149020E+00    0.175660333E+00
    0.747090314E+00    0.177607330E+00
    0.749040712E+00    0.179554327E+00
    0.749041185E+00    0.179554883E+00
    0.750712931E+00    0.181222660E+00
    0.752373416E+00    0.182960161E+00
    0.754310518E+00    0.184987880E+00
    0.756257070E+00    0.187015598E+00
    0.757925707E+00    0.188753100E+00
    0.759581741E+00    0.190562640E+00
    0.761513702E+00    0.192674430E+00
    0.763455412E+00    0.194786220E+00
    0.765119836E+00    0.196595760E+00
    0.766770625E+00    0.198480329E+00
    0.768696485E+00    0.200679900E+00
    0.770632265E+00    0.202879031E+00
    0.772291589E+00    0.204763600E+00
    0.773936030E+00    0.206726285E+00
    0.773936496E+00    0.206726743E+00
    0.775855051E+00    0.209017029E+00
    0.777783801E+00    0.211307315E+00
    0.777784077E+00    0.211307511E+00
    0.779437493E+00    0.213270000E+00
    0.781075122E+00    0.215314087E+00
    0.782985645E+00    0.217699600E+00
    0.784906728E+00    0.220085113E+00
    0.786553440E+00    0.222129200E+00
    0.788182999E+00    0.224258011E+00
    0.790084062E+00    0.226742648E+00
    0.791995940E+00    0.229226789E+00
    0.791996405E+00    0.229227498E+00
    0.793635123E+00    0.231355600E+00
    0.795255638E+00    0.233572642E+00
    0.797146164E+00    0.236160000E+00
    0.799048038E+00    0.238747358E+00
    0.800678286E+00    0.240964400E+00
    0.802288722E+00    0.243273412E+00
    0.804167484E+00    0.245968100E+00
    0.806057871E+00    0.248662788E+00
    0.807678277E+00    0.250971800E+00
    0.809277585E+00    0.253376518E+00
    0.811143420E+00    0.256182900E+00
    0.813021308E+00    0.258989282E+00
    0.814630962E+00    0.261394000E+00
    0.816217974E+00    0.263898440E+00
    0.818069368E+00    0.266821200E+00
    0.819933283E+00    0.269743960E+00
    0.821530979E+00    0.272248400E+00
    0.823104542E+00    0.274856623E+00
    0.824940344E+00    0.277900500E+00
    0.826789050E+00    0.280944377E+00
